flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
03-25-2024,92,224,Monday,EWR,MSP,yes,no,12-24-2023
03-25-2024,91,224,Monday,EWR,MSP,yes,no,12-25-2023
03-25-2024,90,224,Monday,EWR,MSP,yes,no,12-26-2023
03-25-2024,89,224,Monday,EWR,MSP,yes,no,12-27-2023
03-25-2024,88,224,Monday,EWR,MSP,yes,no,12-28-2023
03-25-2024,87,224,Monday,EWR,MSP,yes,no,12-29-2023
03-25-2024,86,224,Monday,EWR,MSP,yes,no,12-30-2023
03-25-2024,85,224,Monday,EWR,MSP,yes,no,12-31-2023
03-25-2024,84,224,Monday,EWR,MSP,yes,no,01-01-2024
03-25-2024,83,225,Monday,EWR,MSP,yes,no,01-02-2024
03-25-2024,82,225,Monday,EWR,MSP,yes,no,01-03-2024
03-25-2024,81,149,Monday,EWR,MSP,yes,no,01-04-2024
03-25-2024,80,144,Monday,EWR,MSP,yes,no,01-05-2024
03-25-2024,79,144,Monday,EWR,MSP,yes,no,01-06-2024
03-25-2024,78,225,Monday,EWR,MSP,yes,no,01-07-2024
03-25-2024,77,225,Monday,EWR,MSP,yes,no,01-08-2024
03-25-2024,76,134,Monday,EWR,MSP,yes,no,01-09-2024
03-25-2024,75,134,Monday,EWR,MSP,yes,no,01-10-2024
03-25-2024,74,134,Monday,EWR,MSP,yes,no,01-11-2024
03-25-2024,73,134,Monday,EWR,MSP,yes,no,01-12-2024
03-25-2024,72,225,Monday,EWR,MSP,yes,no,01-13-2024
03-25-2024,71,225,Monday,EWR,MSP,yes,no,01-14-2024
03-25-2024,70,225,Monday,EWR,MSP,yes,no,01-15-2024
03-25-2024,69,225,Monday,EWR,MSP,yes,no,01-16-2024
03-25-2024,68,130,Monday,EWR,MSP,yes,no,01-17-2024
03-25-2024,67,130,Monday,EWR,MSP,yes,no,01-18-2024
03-25-2024,66,130,Monday,EWR,MSP,yes,no,01-19-2024
03-25-2024,65,130,Monday,EWR,MSP,yes,no,01-20-2024
03-25-2024,64,130,Monday,EWR,MSP,yes,no,01-21-2024
03-25-2024,63,130,Monday,EWR,MSP,yes,no,01-22-2024
03-25-2024,62,135,Monday,EWR,MSP,yes,no,01-23-2024
03-25-2024,61,135,Monday,EWR,MSP,yes,no,01-24-2024
03-25-2024,60,130,Monday,EWR,MSP,yes,no,01-25-2024
03-25-2024,59,130,Monday,EWR,MSP,yes,no,01-26-2024
03-25-2024,58,225,Monday,EWR,MSP,yes,no,01-27-2024
03-25-2024,57,225,Monday,EWR,MSP,yes,no,01-28-2024
03-25-2024,56,225,Monday,EWR,MSP,yes,no,01-29-2024
03-25-2024,55,225,Monday,EWR,MSP,yes,no,01-30-2024
03-25-2024,54,155,Monday,EWR,MSP,yes,no,01-31-2024
03-25-2024,53,155,Monday,EWR,MSP,yes,no,02-01-2024
03-25-2024,52,165,Monday,EWR,MSP,yes,no,02-02-2024
03-25-2024,51,165,Monday,EWR,MSP,yes,no,02-03-2024
03-25-2024,50,150,Monday,EWR,MSP,yes,no,02-04-2024
03-25-2024,49,150,Monday,EWR,MSP,yes,no,02-05-2024
03-25-2024,48,158,Monday,EWR,MSP,yes,no,02-06-2024
03-25-2024,47,140,Monday,EWR,MSP,yes,no,02-07-2024
03-25-2024,46,140,Monday,EWR,MSP,yes,no,02-08-2024
03-25-2024,45,162,Monday,EWR,MSP,yes,no,02-09-2024
03-25-2024,44,160,Monday,EWR,MSP,yes,no,02-10-2024
03-25-2024,43,160,Monday,EWR,MSP,yes,no,02-11-2024
03-25-2024,42,168,Monday,EWR,MSP,yes,no,02-12-2024
03-25-2024,41,169,Monday,EWR,MSP,yes,no,02-13-2024
03-25-2024,40,140,Monday,EWR,MSP,yes,no,02-14-2024
03-25-2024,39,140,Monday,EWR,MSP,yes,no,02-15-2024
03-25-2024,38,169,Monday,EWR,MSP,yes,no,02-16-2024
03-25-2024,37,169,Monday,EWR,MSP,yes,no,02-17-2024
03-25-2024,36,169,Monday,EWR,MSP,yes,no,02-18-2024
03-25-2024,35,168,Monday,EWR,MSP,yes,no,02-19-2024
03-25-2024,34,168,Monday,EWR,MSP,yes,no,02-20-2024
03-25-2024,33,166,Monday,EWR,MSP,yes,no,02-21-2024
03-25-2024,32,165,Monday,EWR,MSP,yes,no,02-22-2024
03-25-2024,31,168,Monday,EWR,MSP,yes,no,02-23-2024
