flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
04-08-2024,106,224,Monday,EWR,MSP,yes,no,12-24-2023
04-08-2024,105,224,Monday,EWR,MSP,yes,no,12-25-2023
04-08-2024,104,224,Monday,EWR,MSP,yes,no,12-26-2023
04-08-2024,103,224,Monday,EWR,MSP,yes,no,12-27-2023
04-08-2024,102,224,Monday,EWR,MSP,yes,no,12-28-2023
04-08-2024,101,224,Monday,EWR,MSP,yes,no,12-29-2023
04-08-2024,100,224,Monday,EWR,MSP,yes,no,12-30-2023
04-08-2024,99,224,Monday,EWR,MSP,yes,no,12-31-2023
04-08-2024,98,224,Monday,EWR,MSP,yes,no,01-01-2024
04-08-2024,97,225,Monday,EWR,MSP,yes,no,01-02-2024
04-08-2024,96,225,Monday,EWR,MSP,yes,no,01-03-2024
04-08-2024,95,149,Monday,EWR,MSP,yes,no,01-04-2024
04-08-2024,94,144,Monday,EWR,MSP,yes,no,01-05-2024
04-08-2024,93,225,Monday,EWR,MSP,yes,no,01-06-2024
04-08-2024,92,225,Monday,EWR,MSP,yes,no,01-07-2024
04-08-2024,91,225,Monday,EWR,MSP,yes,no,01-08-2024
04-08-2024,90,134,Monday,EWR,MSP,yes,no,01-09-2024
04-08-2024,89,134,Monday,EWR,MSP,yes,no,01-10-2024
04-08-2024,88,134,Monday,EWR,MSP,yes,no,01-11-2024
04-08-2024,87,134,Monday,EWR,MSP,yes,no,01-12-2024
04-08-2024,86,225,Monday,EWR,MSP,yes,no,01-13-2024
04-08-2024,85,225,Monday,EWR,MSP,yes,no,01-14-2024
04-08-2024,84,225,Monday,EWR,MSP,yes,no,01-15-2024
04-08-2024,83,225,Monday,EWR,MSP,yes,no,01-16-2024
04-08-2024,82,170,Monday,EWR,MSP,yes,no,01-17-2024
04-08-2024,81,169,Monday,EWR,MSP,yes,no,01-18-2024
04-08-2024,80,169,Monday,EWR,MSP,yes,no,01-19-2024
04-08-2024,79,169,Monday,EWR,MSP,yes,no,01-20-2024
04-08-2024,78,169,Monday,EWR,MSP,yes,no,01-21-2024
04-08-2024,77,169,Monday,EWR,MSP,yes,no,01-22-2024
04-08-2024,76,169,Monday,EWR,MSP,yes,no,01-23-2024
04-08-2024,75,169,Monday,EWR,MSP,yes,no,01-24-2024
04-08-2024,74,169,Monday,EWR,MSP,yes,no,01-25-2024
04-08-2024,73,169,Monday,EWR,MSP,yes,no,01-26-2024
04-08-2024,72,225,Monday,EWR,MSP,yes,no,01-27-2024
04-08-2024,71,225,Monday,EWR,MSP,yes,no,01-28-2024
04-08-2024,70,225,Monday,EWR,MSP,yes,no,01-29-2024
04-08-2024,69,225,Monday,EWR,MSP,yes,no,01-30-2024
04-08-2024,68,179,Monday,EWR,MSP,yes,no,01-31-2024
04-08-2024,67,179,Monday,EWR,MSP,yes,no,02-01-2024
04-08-2024,66,176,Monday,EWR,MSP,yes,no,02-02-2024
04-08-2024,65,176,Monday,EWR,MSP,yes,no,02-03-2024
04-08-2024,64,173,Monday,EWR,MSP,yes,no,02-04-2024
04-08-2024,63,173,Monday,EWR,MSP,yes,no,02-05-2024
04-08-2024,62,158,Monday,EWR,MSP,yes,no,02-06-2024
04-08-2024,61,169,Monday,EWR,MSP,yes,no,02-07-2024
04-08-2024,60,168,Monday,EWR,MSP,yes,no,02-08-2024
04-08-2024,59,168,Monday,EWR,MSP,yes,no,02-09-2024
04-08-2024,58,160,Monday,EWR,MSP,yes,no,02-10-2024
04-08-2024,57,160,Monday,EWR,MSP,yes,no,02-11-2024
04-08-2024,56,205,Monday,EWR,MSP,yes,no,02-12-2024
04-08-2024,55,188,Monday,EWR,MSP,yes,no,02-13-2024
04-08-2024,54,186,Monday,EWR,MSP,yes,no,02-14-2024
04-08-2024,53,186,Monday,EWR,MSP,yes,no,02-15-2024
04-08-2024,52,169,Monday,EWR,MSP,yes,no,02-16-2024
04-08-2024,51,169,Monday,EWR,MSP,yes,no,02-17-2024
04-08-2024,50,169,Monday,EWR,MSP,yes,no,02-18-2024
04-08-2024,49,168,Monday,EWR,MSP,yes,no,02-19-2024
04-08-2024,48,168,Monday,EWR,MSP,yes,no,02-20-2024
04-08-2024,47,166,Monday,EWR,MSP,yes,no,02-21-2024
04-08-2024,46,165,Monday,EWR,MSP,yes,no,02-22-2024
04-08-2024,45,168,Monday,EWR,MSP,yes,no,02-23-2024
04-08-2024,44,169,Monday,EWR,MSP,yes,no,02-24-2024
04-08-2024,43,168,Monday,EWR,MSP,yes,no,02-25-2024
04-08-2024,42,225,Monday,EWR,MSP,yes,no,02-26-2024
