flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
04-08-2024,41,225,Monday,EWR,MSP,yes,no,02-27-2024
04-08-2024,40,225,Monday,EWR,MSP,yes,no,02-28-2024
04-08-2024,39,225,Monday,EWR,MSP,yes,no,02-29-2024
04-08-2024,38,225,Monday,EWR,MSP,yes,no,03-01-2024
04-08-2024,37,225,Monday,EWR,MSP,yes,no,03-02-2024
04-08-2024,36,225,Monday,EWR,MSP,yes,no,03-03-2024
04-08-2024,35,225,Monday,EWR,MSP,yes,no,03-04-2024
04-08-2024,34,140,Monday,EWR,MSP,yes,no,03-05-2024
04-08-2024,33,,Monday,EWR,MSP,yes,no,
04-08-2024,32,,Monday,EWR,MSP,yes,no,
04-08-2024,31,,Monday,EWR,MSP,yes,no,
04-08-2024,30,,Monday,EWR,MSP,yes,no,
04-08-2024,29,,Monday,EWR,MSP,yes,no,
04-08-2024,28,,Monday,EWR,MSP,yes,no,
04-08-2024,27,,Monday,EWR,MSP,yes,no,
04-08-2024,26,,Monday,EWR,MSP,yes,no,
04-08-2024,25,,Monday,EWR,MSP,yes,no,
04-08-2024,24,,Monday,EWR,MSP,yes,no,
04-08-2024,23,,Monday,EWR,MSP,yes,no,
04-08-2024,22,,Monday,EWR,MSP,yes,no,
04-08-2024,21,,Monday,EWR,MSP,yes,no,
04-08-2024,20,,Monday,EWR,MSP,yes,no,
04-08-2024,19,,Monday,EWR,MSP,yes,no,
04-08-2024,18,,Monday,EWR,MSP,yes,no,
04-08-2024,17,,Monday,EWR,MSP,yes,no,
04-08-2024,16,,Monday,EWR,MSP,yes,no,
04-08-2024,15,,Monday,EWR,MSP,yes,no,
04-08-2024,14,,Monday,EWR,MSP,yes,no,
04-08-2024,13,,Monday,EWR,MSP,yes,no,
04-08-2024,12,,Monday,EWR,MSP,yes,no,
04-08-2024,11,,Monday,EWR,MSP,yes,no,
04-08-2024,10,,Monday,EWR,MSP,yes,no,
04-08-2024,9,,Monday,EWR,MSP,yes,no,
04-08-2024,8,,Monday,EWR,MSP,yes,no,
04-08-2024,7,,Monday,EWR,MSP,yes,no,
04-08-2024,6,,Monday,EWR,MSP,yes,no,
04-08-2024,5,,Monday,EWR,MSP,yes,no,
04-08-2024,4,,Monday,EWR,MSP,yes,no,
04-08-2024,3,,Monday,EWR,MSP,yes,no,
04-08-2024,2,,Monday,EWR,MSP,yes,no,
04-08-2024,1,,Monday,EWR,MSP,yes,no,
04-08-2024,0,,Monday,EWR,MSP,yes,no,
