flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
04-15-2024,22,,Monday,EWR,MSP,yes,yes,
04-15-2024,21,,Monday,EWR,MSP,yes,yes,
04-15-2024,20,,Monday,EWR,MSP,yes,yes,
04-15-2024,19,,Monday,EWR,MSP,yes,yes,
04-15-2024,18,,Monday,EWR,MSP,yes,yes,
04-15-2024,17,,Monday,EWR,MSP,yes,yes,
04-15-2024,16,,Monday,EWR,MSP,yes,yes,
04-15-2024,15,,Monday,EWR,MSP,yes,yes,
04-15-2024,14,,Monday,EWR,MSP,yes,yes,
04-15-2024,13,,Monday,EWR,MSP,yes,yes,
04-15-2024,12,,Monday,EWR,MSP,yes,yes,
04-15-2024,11,,Monday,EWR,MSP,yes,yes,
04-15-2024,10,,Monday,EWR,MSP,yes,yes,
04-15-2024,9,,Monday,EWR,MSP,yes,yes,
04-15-2024,8,,Monday,EWR,MSP,yes,yes,
04-15-2024,7,,Monday,EWR,MSP,yes,yes,
04-15-2024,6,,Monday,EWR,MSP,yes,yes,
04-15-2024,5,,Monday,EWR,MSP,yes,yes,
04-15-2024,4,,Monday,EWR,MSP,yes,yes,
04-15-2024,3,,Monday,EWR,MSP,yes,yes,
04-15-2024,2,,Monday,EWR,MSP,yes,yes,
04-15-2024,1,,Monday,EWR,MSP,yes,yes,
04-15-2024,0,,Monday,EWR,MSP,yes,yes,
