flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
03-18-2024,85,224,Monday,EWR,MSP,yes,no,12-24-2023
03-18-2024,84,224,Monday,EWR,MSP,yes,no,12-25-2023
03-18-2024,83,224,Monday,EWR,MSP,yes,no,12-26-2023
03-18-2024,82,224,Monday,EWR,MSP,yes,no,12-27-2023
03-18-2024,81,224,Monday,EWR,MSP,yes,no,12-28-2023
03-18-2024,80,224,Monday,EWR,MSP,yes,no,12-29-2023
03-18-2024,79,224,Monday,EWR,MSP,yes,no,12-30-2023
03-18-2024,78,224,Monday,EWR,MSP,yes,no,12-31-2023
03-18-2024,77,224,Monday,EWR,MSP,yes,no,01-01-2024
03-18-2024,76,225,Monday,EWR,MSP,yes,no,01-02-2024
03-18-2024,75,225,Monday,EWR,MSP,yes,no,01-03-2024
03-18-2024,74,119,Monday,EWR,MSP,yes,no,01-04-2024
03-18-2024,73,119,Monday,EWR,MSP,yes,no,01-05-2024
03-18-2024,72,144,Monday,EWR,MSP,yes,no,01-06-2024
03-18-2024,71,225,Monday,EWR,MSP,yes,no,01-07-2024
03-18-2024,70,225,Monday,EWR,MSP,yes,no,01-08-2024
03-18-2024,69,134,Monday,EWR,MSP,yes,no,01-09-2024
03-18-2024,68,134,Monday,EWR,MSP,yes,no,01-10-2024
03-18-2024,67,134,Monday,EWR,MSP,yes,no,01-11-2024
03-18-2024,66,134,Monday,EWR,MSP,yes,no,01-12-2024
03-18-2024,65,225,Monday,EWR,MSP,yes,no,01-13-2024
03-18-2024,64,225,Monday,EWR,MSP,yes,no,01-14-2024
03-18-2024,63,225,Monday,EWR,MSP,yes,no,01-15-2024
03-18-2024,62,225,Monday,EWR,MSP,yes,no,01-16-2024
03-18-2024,61,130,Monday,EWR,MSP,yes,no,01-17-2024
03-18-2024,60,130,Monday,EWR,MSP,yes,no,01-18-2024
03-18-2024,59,155,Monday,EWR,MSP,yes,no,01-19-2024
03-18-2024,58,155,Monday,EWR,MSP,yes,no,01-20-2024
03-18-2024,57,155,Monday,EWR,MSP,yes,no,01-21-2024
03-18-2024,56,169,Monday,EWR,MSP,yes,no,01-22-2024
03-18-2024,55,169,Monday,EWR,MSP,yes,no,01-23-2024
03-18-2024,54,169,Monday,EWR,MSP,yes,no,01-24-2024
03-18-2024,53,155,Monday,EWR,MSP,yes,no,01-25-2024
03-18-2024,52,155,Monday,EWR,MSP,yes,no,01-26-2024
03-18-2024,51,225,Monday,EWR,MSP,yes,no,01-27-2024
03-18-2024,50,225,Monday,EWR,MSP,yes,no,01-28-2024
03-18-2024,49,225,Monday,EWR,MSP,yes,no,01-29-2024
03-18-2024,48,225,Monday,EWR,MSP,yes,no,01-30-2024
03-18-2024,47,179,Monday,EWR,MSP,yes,no,01-31-2024
03-18-2024,46,179,Monday,EWR,MSP,yes,no,02-01-2024
03-18-2024,45,179,Monday,EWR,MSP,yes,no,02-02-2024
03-18-2024,44,173,Monday,EWR,MSP,yes,no,02-03-2024
03-18-2024,43,173,Monday,EWR,MSP,yes,no,02-04-2024
03-18-2024,42,173,Monday,EWR,MSP,yes,no,02-05-2024
03-18-2024,41,158,Monday,EWR,MSP,yes,no,02-06-2024
03-18-2024,40,158,Monday,EWR,MSP,yes,no,02-07-2024
03-18-2024,39,169,Monday,EWR,MSP,yes,no,02-08-2024
03-18-2024,38,168,Monday,EWR,MSP,yes,no,02-09-2024
03-18-2024,37,160,Monday,EWR,MSP,yes,no,02-10-2024
03-18-2024,36,160,Monday,EWR,MSP,yes,no,02-11-2024
03-18-2024,35,205,Monday,EWR,MSP,yes,no,02-12-2024
03-18-2024,34,199,Monday,EWR,MSP,yes,no,02-13-2024
03-18-2024,33,199,Monday,EWR,MSP,yes,no,02-14-2024
03-18-2024,32,201,Monday,EWR,MSP,yes,no,02-15-2024
03-18-2024,31,204,Monday,EWR,MSP,yes,no,02-16-2024
03-18-2024,30,206,Monday,EWR,MSP,yes,no,02-17-2024
03-18-2024,29,206,Monday,EWR,MSP,yes,no,02-18-2024
03-18-2024,28,226,Monday,EWR,MSP,yes,no,02-19-2024
03-18-2024,27,205,Monday,EWR,MSP,yes,no,02-20-2024
03-18-2024,26,203,Monday,EWR,MSP,yes,no,02-21-2024
03-18-2024,25,203,Monday,EWR,MSP,yes,no,02-22-2024
03-18-2024,24,203,Monday,EWR,MSP,yes,no,02-23-2024
03-18-2024,23,,Monday,EWR,MSP,yes,no,
03-18-2024,22,,Monday,EWR,MSP,yes,no,
03-18-2024,21,,Monday,EWR,MSP,yes,no,
03-18-2024,20,,Monday,EWR,MSP,yes,no,
03-18-2024,19,,Monday,EWR,MSP,yes,no,
03-18-2024,18,,Monday,EWR,MSP,yes,no,
03-18-2024,17,,Monday,EWR,MSP,yes,no,
03-18-2024,16,,Monday,EWR,MSP,yes,no,
03-18-2024,15,,Monday,EWR,MSP,yes,no,
03-18-2024,14,,Monday,EWR,MSP,yes,no,
03-18-2024,13,,Monday,EWR,MSP,yes,no,
03-18-2024,12,,Monday,EWR,MSP,yes,no,
03-18-2024,11,,Monday,EWR,MSP,yes,no,
03-18-2024,10,,Monday,EWR,MSP,yes,no,
03-18-2024,9,,Monday,EWR,MSP,yes,no,
03-18-2024,8,,Monday,EWR,MSP,yes,no,
03-18-2024,7,,Monday,EWR,MSP,yes,no,
03-18-2024,6,,Monday,EWR,MSP,yes,no,
03-18-2024,5,,Monday,EWR,MSP,yes,no,
03-18-2024,4,,Monday,EWR,MSP,yes,no,
03-18-2024,3,,Monday,EWR,MSP,yes,no,
03-18-2024,2,,Monday,EWR,MSP,yes,no,
03-18-2024,1,,Monday,EWR,MSP,yes,no,
03-18-2024,0,,Monday,EWR,MSP,yes,no,
